Order,PID,MS SubClass,MS Zoning,Lot Frontage, ,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Year,Rooms,,
11,526321122,62,RL,"75,00",2,12222,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,2,TA,TA,PConc,Gd,TA,No,Unf,2,Unf,2,763,763,GasA,Gd,Y,SBrkr,763,892,2,1655,2,2,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993,Fin,2,442,TA,TA,Y,157,84,2,2,2,2,,,,2,4,2212,WD ,Normal,175922,1999 or older,7 rooms or more,
12,526321122,22,RL,,7982,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2227,Gable,CompShg,HdBoard,HdBoard,None,2,TA,Gd,PConc,Gd,TA,No,ALQ,935,Unf,2,233,1168,GasA,Ex,Y,SBrkr,1187,2,2,1187,1,2,2,2,3,1,TA,6,Typ,2,,Attchd,1992,Fin,2,422,TA,TA,Y,483,21,2,2,2,2,,GdPrv,Shed,522,3,2212,WD ,Normal,185222,1999 or older,6 rooms or less,,
13,526321122,62,RL,"63,00",2,8422,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,PConc,Gd,TA,No,Unf,2,Unf,2,789,789,GasA,Gd,Y,SBrkr,789,676,2,1465,2,2,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1998,Fin,2,393,TA,TA,Y,2,75,2,2,2,2,,,,2,5,2212,WD ,Normal,182422,1999 or older,7 rooms or more,
14,526321122,22,RL,"85,00",2,12176,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,2,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,2,663,1322,GasA,Gd,Y,SBrkr,1341,2,2,1341,1,2,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1992,Unf,2,526,TA,TA,Y,192,2,2,2,2,2,,,,2,2,2212,WD ,Normal,171522,1999 or older,6 rooms or less,
15,526321122,122,RL,,6822,Pave,,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,2,Gd,TA,PConc,Gd,TA,Av,GLQ,368,BLQ,1122,2,1488,GasA,TA,Y,SBrkr,1522,2,2,1522,1,2,1,1,1,1,Gd,4,Typ,2,,Attchd,1985,RFn,2,528,TA,TA,Y,2,54,2,2,142,2,,,,2,6,2212,WD ,Normal,212222,1999 or older,6 rooms or less,,
16,526321122,62,RL,"47,00",2,53524,Pave,,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2223,2223,Hip,CompShg,CemntBd,Wd Shng,BrkFace,623,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416,Unf,2,234,1652,GasA,Ex,Y,SBrkr,1692,1589,2,3279,1,2,3,1,4,1,Ex,12,Mod,1,Gd,BuiltIn,2223,Fin,3,841,TA,TA,Y,523,36,2,2,212,2,,,,2,6,2212,WD ,Normal,538222,2222 or newer,7 rooms or more,
17,526321122,52,RL,"152,00",2,12134,Pave,,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1,5Fin,8,7,1988,2225,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,Gd,TA,Wood,Gd,TA,Av,GLQ,427,Unf,2,132,559,GasA,Gd,Y,SBrkr,1282,672,2,1752,2,2,2,2,4,1,TA,8,Typ,2,,Basment,1988,RFn,2,492,TA,TA,Y,325,12,2,2,2,2,,,,2,6,2212,WD ,Normal,164222,1999 or older,7 rooms or more
18,526321122,22,RL,"88,00",2,11394,Pave,,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2212,2212,Hip,CompShg,VinylSd,VinylSd,Stone,352,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,Unf,2,411,1856,GasA,Ex,Y,SBrkr,1856,2,2,1856,1,2,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2212,Fin,3,834,TA,TA,Y,113,2,2,2,2,2,,,,2,6,2212,New,Partial,394432,2222 or newer,7 rooms or more,
19,526321122,22,RL,"142,00",2,19138,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,CBlock,TA,TA,No,LwQ,122,Unf,2,744,864,GasA,Ex,Y,SBrkr,864,2,2,864,2,2,1,2,2,1,TA,4,Typ,2,,Detchd,1951,Unf,2,422,TA,TA,Y,2,2,2,2,2,2,,,,2,6,2212,WD ,Normal,141222,1999 or older,6 rooms or less,
22,526321122,22,RL,"85,00",2,13175,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119,TA,TA,CBlock,Gd,TA,No,ALQ,792,Rec,163,589,1542,GasA,TA,Y,SBrkr,2273,2,2,2273,1,2,2,2,3,1,TA,7,Min1,2,TA,Attchd,1978,Unf,2,522,TA,TA,Y,349,2,2,2,2,2,,MnPrv,,2,2,2212,WD ,Normal,212222,1999 or older,7 rooms or more,
21,526321122,22,RL,"125,00",2,11751,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,482,TA,TA,CBlock,Gd,TA,No,BLQ,725,Unf,2,1139,1844,GasA,Ex,Y,SBrkr,1844,2,2,1844,2,2,2,2,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,2,546,TA,TA,Y,2,122,2,2,2,2,,MnPrv,,2,1,2212,COD,Normal,192222,1999 or older,7 rooms or more,
22,526321122,85,RL,"85,00",2,12625,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81,TA,TA,CBlock,Gd,TA,Gd,GLQ,885,LwQ,168,2,1253,GasA,TA,Y,SBrkr,1173,2,2,1173,1,2,2,2,3,1,Gd,6,Typ,2,TA,Attchd,1974,RFn,2,528,TA,TA,Y,2,122,2,2,2,2,,MnPrv,,2,1,2212,WD ,Family,172222,1999 or older,6 rooms or less,
23,526321122,62,FV,,7522,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2222,2222,Gable,CompShg,VinylSd,VinylSd,None,2,Gd,TA,PConc,Gd,TA,No,GLQ,533,Unf,2,281,814,GasA,Ex,Y,SBrkr,814,862,2,1674,1,2,2,1,3,1,Gd,7,Typ,2,,Attchd,2222,RFn,2,663,TA,TA,Y,2,96,2,2,2,2,,,,2,1,2212,WD ,Normal,216222,2222 or newer,7 rooms or more,,
24,526321122,22,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1972,1972,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,182,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,2,426,1224,GasA,Ex,Y,SBrkr,1224,2,2,1224,1,2,1,2,2,1,TA,5,Typ,1,TA,Attchd,1972,Fin,2,482,TA,TA,Y,2,2,2,2,2,2,,,Shed,722,3,2212,WD ,Normal,149222,1999 or older,6 rooms or less,,
25,526321122,22,RL,,12537,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2228,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,CBlock,TA,TA,No,GLQ,734,Unf,2,344,1278,GasA,Ex,Y,SBrkr,1278,2,2,1278,1,2,1,1,3,1,TA,6,Typ,1,Fa,Attchd,1971,Fin,2,522,TA,TA,Y,2,2,2,2,2,2,,,,2,4,2212,WD ,Normal,149922,1999 or older,6 rooms or less,,
26,526321122,22,RL,"65,00",2,8452,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,2,TA,TA,CBlock,TA,TA,No,BLQ,775,Unf,2,281,1256,GasA,Ex,Y,SBrkr,1256,2,2,1256,1,2,1,2,3,1,TA,6,Typ,1,Fa,Attchd,1968,Unf,1,324,TA,TA,Y,2,85,184,2,2,2,,,,2,7,2212,WD ,Normal,142222,1999 or older,6 rooms or less,
27,526321122,22,RL,"72,00",2,8422,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1972,1972,Gable,CompShg,Plywood,Plywood,None,2,TA,TA,CBlock,TA,TA,No,ALQ,824,Rec,78,2,882,GasA,TA,Y,SBrkr,882,2,2,882,1,2,1,2,2,1,TA,4,Typ,2,,Attchd,1972,Fin,2,525,TA,TA,Y,242,2,2,2,2,2,,MnPrv,,2,4,2212,WD ,Normal,126222,1999 or older,6 rooms or less,
28,526321122,22,RL,"72,00",2,12522,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,2,TA,TA,CBlock,TA,TA,No,ALQ,432,Unf,2,432,864,GasA,TA,Y,SBrkr,864,2,2,864,2,2,1,2,3,1,TA,5,Typ,1,Po,,,,2,2,,,Y,2,2,2,2,2,2,,,,2,4,2212,ConLI,Normal,115222,1999 or older,6 rooms or less,
29,526321122,122,RH,"26,00",2,5858,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,2,Gd,TA,PConc,Gd,TA,No,GLQ,1251,BLQ,2,354,1425,GasA,Ex,Y,SBrkr,1337,2,2,1337,1,2,2,2,2,1,Gd,5,Typ,1,Fa,Attchd,1999,Fin,2,511,TA,TA,Y,223,68,2,2,2,2,,,,2,6,2212,WD ,Normal,184222,1999 or older,6 rooms or less,
32,526321122,162,RM,"21,00",2,1682,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,524,TA,TA,CBlock,TA,TA,No,Rec,156,Unf,2,327,483,GasA,TA,Y,SBrkr,483,524,2,987,2,2,1,1,2,1,TA,5,Typ,2,,Detchd,1971,Unf,1,264,TA,TA,Y,275,2,2,2,2,2,,,,2,2,2212,COD,Normal,96222,1999 or older,6 rooms or less,
31,526321122,162,RM,"21,00",2,1682,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,TA,TA,CBlock,TA,TA,No,Rec,322,Unf,2,225,525,GasA,TA,Y,SBrkr,525,567,2,1292,2,2,1,1,3,1,TA,6,Typ,2,,Detchd,1997,Unf,1,322,TA,TA,Y,2,2,2,2,2,2,,,,2,3,2212,WD ,Normal,125522,1999 or older,6 rooms or less,
32,526321122,162,RM,"21,00",2,1682,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381,TA,TA,CBlock,TA,TA,No,Unf,2,Unf,2,525,525,GasA,TA,Y,SBrkr,525,567,2,1292,2,2,1,1,3,1,TA,6,Typ,2,,Detchd,1971,Unf,1,264,TA,TA,Y,2,2,2,2,2,2,,,,2,3,2212,WD ,Family,88222,1999 or older,6 rooms or less,
33,526321122,122,RL,"53,00",2,4243,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,2,TA,TA,CBlock,Gd,TA,No,ALQ,362,Unf,2,729,1269,GasA,TA,Y,SBrkr,1269,2,2,1269,2,2,2,2,2,1,TA,4,Typ,1,Fa,Attchd,1977,RFn,2,442,TA,TA,Y,2,55,2,2,165,2,,,,2,7,2212,WD ,Normal,127522,1999 or older,6 rooms or less,
34,526321122,162,RL,"24,00",2,2282,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,2,TA,TA,CBlock,TA,TA,No,ALQ,514,Unf,2,341,855,GasA,TA,Y,SBrkr,855,621,2,1456,2,2,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1975,Unf,2,442,TA,TA,Y,173,2,2,2,2,2,,,,2,6,2212,WD ,Normal,149922,1999 or older,6 rooms or less,
35,526321122,122,RL,"24,00",2,2282,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,2,TA,TA,CBlock,Gd,TA,No,Unf,2,Unf,2,836,836,GasA,Ex,Y,SBrkr,836,2,2,836,2,2,1,2,2,1,TA,4,Typ,2,,Attchd,1975,Unf,1,328,TA,TA,Y,2,32,2,2,2,2,,,,2,6,2212,WD ,Normal,122222,1999 or older,6 rooms or less,
36,526321122,162,RL,"24,00",2,2282,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,2,TA,TA,CBlock,Gd,TA,No,ALQ,311,Unf,2,544,855,GasA,Fa,Y,SBrkr,855,621,2,1456,2,2,2,1,3,1,TA,7,Typ,1,TA,Attchd,1978,Unf,2,442,TA,TA,Y,26,2,2,2,2,2,,,,2,7,2212,WD ,Normal,146222,1999 or older,7 rooms or more,
37,526321122,62,RL,"122,00",2,12858,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2229,2212,Gable,CompShg,VinylSd,VinylSd,Stone,162,Ex,TA,PConc,Ex,TA,No,Unf,2,Unf,2,1592,1592,GasA,Ex,Y,SBrkr,1627,727,2,2334,2,2,2,1,3,1,Ex,12,Typ,1,Gd,Attchd,2229,Fin,3,751,TA,TA,Y,144,133,2,2,2,2,,,,2,1,2212,New,Partial,376162,2222 or newer,7 rooms or more,
38,526321122,22,RL,"98,00",2,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2227,2228,Gable,CompShg,VinylSd,VinylSd,Stone,222,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,2,486,1724,GasA,Ex,Y,SBrkr,1724,2,2,1724,1,2,2,2,3,1,Gd,7,Typ,1,Gd,Attchd,2228,RFn,3,772,TA,TA,Y,2,52,2,2,2,2,,,,2,5,2212,WD ,Normal,326222,2222 or newer,7 rooms or more,
39,526321122,22,RL,"83,00",2,12159,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2229,2212,Hip,CompShg,VinylSd,VinylSd,Stone,452,Ex,TA,PConc,Ex,TA,Av,GLQ,1646,Unf,2,284,1932,GasA,Ex,Y,SBrkr,1942,2,2,1942,1,2,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2212,Fin,3,626,TA,TA,Y,168,95,2,2,2,2,,,,2,4,2212,New,Partial,395192,2222 or newer,7 rooms or more,
42,526321122,22,RL,"94,00",2,12883,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2229,2212,Gable,CompShg,VinylSd,VinylSd,Stone,256,Gd,TA,PConc,Gd,TA,No,Unf,2,Unf,2,1544,1544,GasA,Ex,Y,SBrkr,1544,2,2,1544,2,2,2,2,3,1,Gd,7,Typ,2,,Attchd,2229,RFn,3,868,TA,TA,Y,2,35,2,2,2,2,,,,2,6,2212,New,Partial,292941,2222 or newer,7 rooms or more,
41,526321122,22,RL,"95,00",2,12182,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2225,2225,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Gd,TA,PConc,Gd,TA,Mn,BLQ,1221,Unf,2,342,1541,GasA,Ex,Y,SBrkr,1541,2,2,1541,2,2,2,2,3,1,Gd,7,Typ,1,Gd,Attchd,2225,RFn,2,532,TA,TA,Y,2,72,2,2,2,2,,,,2,5,2212,New,Partial,222222,2222 or newer,7 rooms or more,
42,526321122,22,RL,"92,00",2,11522,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2225,2225,Hip,CompShg,VinylSd,VinylSd,BrkFace,615,Gd,TA,PConc,Ex,TA,No,GLQ,112,Unf,2,1588,1698,GasA,Ex,Y,SBrkr,1698,2,2,1698,2,2,2,2,3,1,Ex,7,Typ,1,Gd,Attchd,2225,Fin,3,732,TA,TA,Y,192,74,2,2,2,2,,,,2,6,2212,WD ,Normal,275222,2222 or newer,7 rooms or more,
43,526321122,22,RL,"79,00",2,14122,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2225,2226,Hip,CompShg,CemntBd,CmentBd,BrkFace,242,Gd,TA,PConc,Ex,TA,No,GLQ,28,Unf,2,1794,1822,GasA,Ex,Y,SBrkr,1822,2,2,1822,2,2,2,2,3,1,Ex,8,Typ,1,Gd,Attchd,2225,RFn,3,678,TA,TA,Y,2,119,2,2,2,2,,,,2,2,2212,WD ,Normal,259222,2222 or newer,7 rooms or more,
44,526321122,22,RL,"72,00",2,12171,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2224,2224,Gable,CompShg,VinylSd,VinylSd,BrkFace,168,Gd,TA,PConc,Gd,TA,No,GLQ,2,Unf,2,1515,1517,GasA,Ex,Y,SBrkr,1535,2,2,1535,2,2,2,2,3,1,Gd,7,Typ,2,,Attchd,2224,RFn,2,532,TA,TA,Y,2,2,2,2,2,2,,,,2,3,2212,WD ,Normal,214222,2222 or newer,7 rooms or more,
45,526321122,22,RL,"122,00",2,12919,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2229,2212,Hip,CompShg,VinylSd,VinylSd,Stone,762,Ex,TA,PConc,Ex,TA,Gd,GLQ,2188,Unf,2,142,2332,GasA,Ex,Y,SBrkr,2364,2,2,2364,1,2,2,1,2,1,Ex,11,Typ,2,Gd,Attchd,2229,Fin,3,822,TA,TA,Y,2,67,2,2,2,2,,,,2,3,2212,New,Partial,611657,2222 or newer,7 rooms or more,
46,526321122,122,RL,"44,00",2,6371,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2229,2212,Gable,CompShg,VinylSd,VinylSd,Stone,128,Gd,TA,PConc,Gd,TA,Mn,GLQ,733,Unf,2,625,1358,GasA,Ex,Y,SBrkr,1358,2,2,1358,1,2,2,2,2,1,Gd,6,Typ,1,Gd,Attchd,2212,RFn,2,484,TA,TA,Y,192,35,2,2,2,2,,,,2,6,2212,New,Partial,224222,2222 or newer,6 rooms or less,
